Population Size, CrossOver Rate, Mutation Rate, Tournament Size, Best Fitness, Elitism
3500, 0.07, 0.02, 2, 0.0, 21259
2500, 0.55, 0.001, 10, 0.0, 20187
2500, 0.55, 0.01, 10, 0.0, 20830
3500, 0.06, 0.01, 10, 0.4, 19113
3500, 0.55, 0.001, 10, 0.2, 19400
2500, 0.55, 0.001, 5, 0.2, 18485
3500, 0.07, 0.001, 10, 0.0, 21156
3000, 0.06, 0.005, 5, 0.0, 18723
3000, 0.55, 0.02, 5, 0.6, 19419
3000, 0.5, 0.02, 10, 0.4, 19652
3500, 0.65, 0.015, 2, 0.6, 19152
2500, 0.55, 0.001, 2, 0.2, 19443
2500, 0.65, 0.001, 2, 0.0, 19943
2500, 0.06, 0.015, 10, 0.2, 17117
2500, 0.07, 0.015, 5, 0.4, 19015
2500, 0.65, 0.015, 10, 0.6, 20974
3500, 0.65, 0.015, 10, 0.6, 20266
2500, 0.55, 0.005, 10, 0.6, 20304
3000, 0.65, 0.015, 2, 0.2, 18826
3500, 0.5, 0.01, 2, 0.4, 18921
3000, 0.07, 0.005, 10, 0.2, 20322
3500, 0.07, 0.01, 5, 0.2, 18375
2500, 0.5, 0.02, 10, 0.2, 19081
2500, 0.55, 0.005, 5, 0.2, 20604
2500, 0.65, 0.005, 5, 0.4, 21370
3500, 0.07, 0.005, 5, 0.2, 19457
2500, 0.06, 0.005, 10, 0.2, 20688
3500, 0.06, 0.02, 10, 0.2, 19915
3000, 0.5, 0.001, 10, 0.0, 18745
3500, 0.07, 0.02, 5, 0.6, 19954
3500, 0.55, 0.005, 10, 0.0, 20291
2500, 0.65, 0.005, 10, 0.6, 20390
3000, 0.5, 0.01, 5, 0.2, 19198
3000, 0.5, 0.02, 5, 0.6, 20172
3500, 0.55, 0.005, 10, 0.2, 18681
2500, 0.06, 0.01, 5, 0.0, 21187
3000, 0.07, 0.01, 5, 0.2, 20196
3000, 0.06, 0.02, 2, 0.2, 18342
2500, 0.06, 0.01, 10, 0.2, 19004
2500, 0.07, 0.005, 10, 0.2, 20525
3000, 0.5, 0.02, 10, 0.6, 20164
3000, 0.06, 0.02, 10, 0.0, 20336
